,City,Latitude,Longitude,Temp.(F),Humidity (%),Cloudiness(%),Wind Speed(mph),Max Temp
0,nikolskoye,59.7,30.79,57.31,67,38,2.24,59.0
1,bengkulu,-3.8,102.27,85.06,68,75,4.45,85.06
2,matata,-37.88,176.75,57.49,86,100,5.01,57.99
3,cayenne,4.93,-52.33,75.2,100,76,7.18,75.2
4,barrow,71.29,-156.79,48.2,70,40,3.36,48.2
5,ribeira grande,38.52,-28.7,70.29,72,100,9.35,70.29
6,kolosovka,56.47,73.61,76.08,58,19,4.52,76.08
7,avarua,-21.21,-159.78,77.0,88,0,12.75,77.0
8,albany,42.6,-73.97,61.09,67,1,3.78,62.01
9,isangel,-19.55,169.27,77.0,53,20,9.17,77.0
10,qaanaaq,77.48,-69.36,32.02,86,3,3.13,32.02
11,pevek,69.7,170.31,34.83,97,100,3.22,34.83
12,noumea,-22.28,166.46,78.8,54,40,12.75,78.8
13,ushuaia,-54.8,-68.3,37.4,69,20,13.87,37.4
14,puerto ayora,-0.74,-90.35,66.99,94,81,3.0,66.99
15,souillac,-20.52,57.52,68.0,64,75,9.17,68.0
16,busselton,-33.65,115.33,59.11,47,5,8.81,61.0
17,rikitea,-23.12,-134.97,70.56,77,34,11.18,70.56
18,victoria,22.29,114.16,87.4,66,100,8.01,89.01
19,iranshahr,27.2,60.68,95.0,16,32,9.17,95.0
20,talnakh,69.49,88.4,64.4,59,0,8.95,64.4
21,bambous virieux,-20.34,57.76,67.05,64,75,9.17,68.0
22,longyearbyen,78.22,15.64,51.8,81,75,6.93,51.8
23,tautira,-17.73,-149.15,77.49,83,75,9.17,78.01
24,yumen,40.28,97.2,87.51,25,38,11.45,87.51
25,tuktoyaktuk,69.45,-133.04,50.0,87,90,9.17,50.0
26,carnarvon,-24.87,113.63,69.8,46,0,14.99,69.8
27,thompson,55.74,-97.86,66.2,72,20,2.24,66.2
28,butaritari,3.07,172.79,84.42,74,32,21.68,84.42
29,vila franca do campo,37.72,-25.43,68.0,88,20,5.82,68.0
30,kalmunai,7.42,81.82,88.68,53,100,12.19,88.68
31,cape town,-33.93,18.42,43.09,93,75,3.36,48.0
32,adrar,20.5,-10.07,91.22,32,30,17.54,91.22
33,novomykolayivka,47.98,35.91,64.99,63,0,6.71,69.01
34,yellowknife,62.46,-114.35,66.52,68,75,8.05,66.99
35,atuona,-9.8,-139.03,79.27,75,7,18.72,79.27
36,belmonte,-15.86,-38.88,71.6,64,40,8.05,71.6
37,broken hill,-31.95,141.43,50.0,39,40,23.04,50.0
38,upernavik,72.79,-56.15,36.54,93,100,6.35,36.54
39,puerto carreno,6.19,-67.49,76.62,82,8,2.19,76.62
40,cherskiy,68.75,161.3,56.03,61,93,5.61,56.03
41,chokurdakh,70.63,147.92,66.76,50,100,8.19,66.76
42,dikson,73.51,80.55,46.49,94,100,17.27,46.49
43,ponta do sol,32.67,-17.1,70.12,68,40,8.05,71.6
44,bluff,-46.6,168.33,51.01,80,100,4.0,51.01
