,City,Latitude,Longitude,Temp.(F),Humidity (%),Cloudiness(%),Wind Speed(mph),Max Temp
0,linhares,-19.39,-40.07,66.04,94,65,1.1,66.04
1,padang,-0.95,100.35,87.55,55,84,4.99,87.55
2,vaini,-21.2,-175.2,77.0,73,20,9.17,77.0
3,puerto escondido,15.85,-97.07,81.93,74,99,3.76,81.93
4,chokurdakh,70.63,147.92,47.01,55,97,7.11,47.01
5,cumberland,35.05,-78.87,73.96,88,75,5.5,75.2
6,jamestown,42.1,-79.24,70.95,83,1,5.61,72.0
7,kapaa,22.08,-159.32,77.43,78,90,19.46,78.8
8,provideniya,64.38,-173.3,51.8,87,90,11.18,51.8
9,busselton,-33.65,115.33,58.62,58,39,16.89,63.0
10,ponta delgada,37.73,-25.67,69.8,77,20,11.41,69.8
11,isangel,-19.55,169.27,84.2,74,40,9.17,84.2
12,north bend,43.41,-124.22,60.17,93,40,23.04,63.0
13,aripuana,-9.17,-60.63,73.76,46,1,1.86,73.76
14,katsuura,35.13,140.3,91.09,79,20,17.22,95.0
15,ushuaia,-54.8,-68.3,30.2,86,40,4.7,30.2
16,atuona,-9.8,-139.03,78.67,72,0,18.84,78.67
17,albany,42.6,-73.97,70.21,80,10,3.0,71.01
18,rikitea,-23.12,-134.97,70.05,75,65,22.93,70.05
19,qaanaaq,77.48,-69.36,33.58,81,0,2.26,33.58
20,guerrero negro,27.98,-114.06,71.76,67,0,8.72,71.76
21,zalantun,48.0,122.72,72.84,72,24,9.8,72.84
22,sibu,2.3,111.82,88.03,70,75,2.24,89.6
23,kumluca,36.37,30.29,80.24,56,9,3.24,80.24
24,yerbogachen,61.28,108.01,76.68,42,1,6.67,76.68
25,hobart,-42.88,147.33,49.55,50,30,6.93,51.8
26,hovd,48.01,91.64,70.45,33,49,2.93,70.45
27,port alfred,-33.59,26.89,55.33,67,0,10.2,55.33
28,barrow,71.29,-156.79,42.8,87,90,3.36,42.8
29,tuktoyaktuk,69.45,-133.04,51.8,76,75,5.82,51.8
30,port elizabeth,-33.92,25.57,50.0,81,0,5.82,50.0
31,hilo,19.73,-155.09,72.7,69,90,6.82,80.6
32,tiksi,71.69,128.87,43.21,71,90,12.48,43.21
33,pinawa,50.15,-95.88,61.21,59,31,5.61,61.21
34,saskylakh,71.92,114.08,56.95,47,88,9.53,56.95
35,hasaki,35.73,140.83,95.68,56,20,16.11,97.0
36,mataura,-46.19,168.86,52.0,71,69,11.01,52.0
37,yellowknife,62.46,-114.35,63.19,100,75,3.36,64.0
38,aklavik,68.22,-135.01,51.8,76,75,9.17,51.8
39,bidor,4.11,101.29,86.18,74,20,4.68,87.01
40,punta arenas,-53.15,-70.92,32.0,90,100,10.29,32.0
41,zyryanka,65.75,150.85,49.41,77,99,8.39,49.41
42,khatanga,71.97,102.5,52.03,56,59,6.29,52.03
43,dikson,73.51,80.55,37.26,87,100,22.21,37.26
44,clyde river,70.47,-68.59,39.2,93,90,12.75,39.2
45,kondoa,-4.9,35.78,53.26,95,14,4.27,53.26
46,ponta do sol,32.67,-17.1,70.14,73,40,6.93,71.6
47,chuy,-33.7,-53.46,49.46,73,95,8.77,49.46
48,vila velha,-20.33,-40.29,68.54,88,75,2.24,69.01
49,pevek,69.7,170.31,35.8,95,100,8.79,35.8
50,longyearbyen,78.22,15.64,46.4,87,75,6.93,46.4
51,bluff,-46.6,168.33,52.0,71,88,11.01,52.0
